iter	Passed	Remaining
614	4087	2558
615	4093	2551
616	4100	2545
617	4106	2538
618	4112	2531
619	4118	2524
620	4125	2517
621	4131	2510
622	4137	2504
623	4144	2497
624	4150	2490
625	4157	2483
626	4163	2476
627	4169	2469
628	4175	2463
629	4182	2456
630	4188	2449
631	4194	2442
632	4201	2435
633	4207	2428
634	4214	2422
635	4220	2415
636	4226	2408
637	4233	2402
638	4239	2395
639	4246	2388
640	4252	2381
641	4258	2374
642	4265	2368
643	4271	2361
644	4278	2355
645	4285	2348
646	4291	2341
647	4298	2334
648	4304	2328
649	4311	2321
650	4317	2314
651	4323	2307
652	4330	2301
653	4336	2294
654	4343	2287
655	4349	2280
656	4355	2274
657	4362	2267
658	4368	2260
659	4374	2253
660	4381	2246
661	4387	2240
662	4393	2233
663	4400	2226
664	4406	2219
665	4412	2213
666	4419	2206
667	4425	2199
668	4432	2193
669	4439	2186
670	4445	2179
671	4452	2173
672	4458	2166
673	4465	2159
674	4471	2153
675	4477	2146
676	4484	2139
677	4491	2132
678	4497	2126
679	4503	2119
680	4510	2113
681	4517	2106
682	4523	2099
683	4529	2092
684	4536	2086
685	4543	2079
686	4549	2072
687	4556	2066
688	4562	2059
689	4568	2052
690	4574	2045
691	4581	2039
692	4587	2032
693	4594	2025
694	4601	2019
695	4607	2012
696	4614	2005
697	4620	1999
698	4626	1992
699	4632	1985
700	4639	1978
701	4645	1972
702	4651	1965
703	4657	1958
704	4664	1951
705	4670	1945
706	4677	1938
707	4683	1931
708	4689	1924
709	4696	1918
710	4702	1911
711	4709	1904
712	4715	1898
713	4721	1891
714	4728	1884
715	4734	1877
716	4741	1871
717	4747	1864
718	4754	1858
719	4760	1851
720	4767	1844
721	4773	1837
722	4779	1831
723	4786	1824
724	4792	1817
725	4799	1811
726	4805	1804
727	4812	1797
728	4818	1791
729	4824	1784
730	4830	1777
731	4836	1770
732	4843	1764
733	4849	1757
734	4856	1750
735	4862	1744
736	4869	1737
737	4875	1730
738	4881	1724
739	4888	1717
740	4895	1710
741	4901	1704
742	4907	1697
743	4914	1690
744	4920	1684
745	4926	1677
746	4932	1670
747	4939	1663
748	4945	1657
749	4952	1650
750	4958	1644
751	4965	1637
752	4971	1630
753	4978	1624
754	4985	1617
755	4991	1610
756	4998	1604
757	5004	1597
758	5011	1591
759	5017	1584
760	5023	1577
761	5030	1571
762	5036	1564
763	5043	1557
764	5049	1551
765	5055	1544
766	5062	1537
767	5068	1531
768	5074	1524
769	5081	1517
770	5088	1511
771	5094	1504
772	5100	1497
773	5107	1491
774	5113	1484
775	5119	1477
776	5126	1471
777	5132	1464
778	5138	1457
779	5145	1451
780	5151	1444
781	5158	1437
782	5164	1431
783	5170	1424
784	5177	1417
785	5183	1411
786	5189	1404
787	5196	1397
788	5202	1391
789	5208	1384
790	5214	1377
791	5221	1371
792	5227	1364
793	5234	1357
794	5240	1351
795	5246	1344
796	5252	1337
797	5259	1331
798	5265	1324
799	5271	1317
800	5278	1311
801	5285	1304
802	5291	1298
803	5298	1291
804	5304	1284
805	5311	1278
806	5317	1271
807	5324	1265
808	5330	1258
809	5337	1251
810	5343	1245
811	5350	1238
812	5356	1232
813	5363	1225
814	5370	1219
815	5376	1212
816	5383	1205
817	5389	1199
818	5396	1192
819	5402	1185
820	5408	1179
821	5415	1172
822	5421	1166
823	5428	1159
824	5434	1152
825	5441	1146
826	5447	1139
827	5453	1132
828	5460	1126
829	5466	1119
830	5472	1112
831	5479	1106
832	5486	1099
833	5493	1093
834	5499	1086
835	5505	1080
836	5512	1073
837	5518	1066
838	5524	1060
839	5530	1053
840	5537	1046
841	5543	1040
842	5549	1033
843	5556	1026
844	5562	1020
845	5569	1013
846	5575	1007
847	5581	1000
848	5588	993
849	5594	987
850	5601	980
851	5608	974
852	5614	967
853	5620	960
854	5627	954
855	5634	947
856	5640	941
857	5646	934
858	5653	927
859	5659	921
860	5666	914
861	5673	908
862	5679	901
863	5686	895
864	5693	888
865	5699	881
866	5705	875
867	5713	868
868	5719	862
869	5725	855
870	5732	848
871	5738	842
872	5744	835
873	5751	829
874	5757	822
875	5764	815
876	5770	809
877	5777	802
878	5783	796
879	5789	789
880	5796	782
881	5802	776
882	5809	769
883	5816	763
884	5822	756
885	5828	749
886	5835	743
887	5841	736
888	5847	730
889	5854	723
890	5861	717
891	5868	710
892	5874	703
893	5881	697
894	5887	690
895	5893	684
896	5900	677
897	5906	670
898	5913	664
899	5919	657
900	5925	651
901	5932	644
902	5938	637
903	5944	631
904	5951	624
905	5957	618
906	5964	611
907	5970	604
908	5976	598
909	5983	591
910	5989	585
911	5996	578
912	6002	571
913	6008	565
914	6015	558
915	6021	552
916	6028	545
917	6034	539
918	6040	532
919	6047	525
920	6053	519
921	6059	512
922	6066	506
923	6074	499
924	6080	493
925	6087	486
926	6093	479
927	6099	473
928	6106	466
929	6112	460
930	6118	453
931	6125	446
932	6131	440
933	6137	433
934	6143	427
935	6150	420
936	6156	413
937	6163	407
938	6169	400
939	6175	394
940	6182	387
941	6188	381
942	6194	374
943	6201	367
944	6207	361
945	6214	354
946	6221	348
947	6227	341
948	6233	335
949	6240	328
950	6246	321
951	6253	315
952	6259	308
953	6265	302
954	6272	295
955	6278	288
956	6285	282
957	6291	275
958	6298	269
959	6305	262
960	6315	256
961	6322	249
962	6328	243
963	6335	236
964	6341	230
965	6348	223
966	6354	216
967	6361	210
968	6367	203
969	6373	197
970	6380	190
971	6386	183
972	6393	177
973	6399	170
974	6405	164
975	6412	157
976	6419	151
977	6425	144
978	6431	137
979	6438	131
980	6444	124
981	6450	118
982	6456	111
983	6463	105
984	6470	98
985	6477	91
986	6484	85
