iter	Passed	Remaining
648	4144	2241
649	4151	2235
650	4157	2229
651	4164	2223
652	4171	2216
653	4177	2210
654	4183	2203
655	4190	2197
656	4197	2191
657	4203	2184
658	4209	2178
659	4215	2171
660	4221	2165
661	4228	2158
662	4234	2152
663	4240	2145
664	4247	2139
665	4253	2132
666	4259	2126
667	4265	2120
668	4272	2113
669	4278	2107
670	4284	2100
671	4290	2094
672	4296	2087
673	4303	2081
674	4309	2074
675	4315	2068
676	4321	2061
677	4327	2055
678	4334	2049
679	4341	2043
680	4347	2036
681	4353	2029
682	4359	2023
683	4366	2017
684	4372	2010
685	4379	2004
686	4386	1998
687	4392	1991
688	4398	1985
689	4405	1979
690	4411	1972
691	4417	1966
692	4424	1959
693	4430	1953
694	4436	1947
695	4442	1940
696	4449	1934
697	4455	1927
698	4462	1921
699	4468	1915
700	4475	1908
701	4481	1902
702	4487	1895
703	4493	1889
704	4499	1882
705	4506	1876
706	4513	1870
707	4520	1864
708	4526	1857
709	4532	1851
710	4539	1845
711	4546	1838
712	4552	1832
713	4559	1826
714	4565	1819
715	4571	1813
716	4577	1806
717	4584	1800
718	4590	1793
719	4596	1787
720	4602	1780
721	4608	1774
722	4616	1768
723	4622	1762
724	4628	1755
725	4635	1749
726	4641	1743
727	4648	1736
728	4654	1730
729	4660	1723
730	4666	1717
731	4672	1710
732	4678	1704
733	4684	1697
734	4690	1691
735	4696	1684
736	4702	1678
737	4708	1671
738	4715	1665
739	4721	1659
740	4727	1652
741	4734	1646
742	4740	1639
743	4746	1633
744	4752	1626
745	4758	1620
746	4764	1613
747	4770	1607
748	4777	1600
749	4783	1594
750	4789	1588
751	4795	1581
752	4801	1575
753	4807	1568
754	4813	1562
755	4819	1555
756	4826	1549
757	4833	1543
758	4839	1536
759	4845	1530
760	4852	1523
761	4858	1517
762	4864	1511
763	4870	1504
764	4876	1498
765	4882	1491
766	4889	1485
767	4895	1478
768	4902	1472
769	4908	1466
770	4915	1459
771	4921	1453
772	4927	1447
773	4934	1440
774	4940	1434
775	4947	1428
776	4953	1421
777	4959	1415
778	4965	1408
779	4972	1402
780	4978	1395
781	4984	1389
782	4991	1383
783	4997	1376
784	5003	1370
785	5009	1363
786	5015	1357
787	5022	1351
788	5028	1344
789	5035	1338
790	5041	1332
791	5047	1325
792	5053	1319
793	5059	1312
794	5065	1306
795	5071	1299
796	5077	1293
797	5083	1286
798	5092	1281
799	5098	1274
800	5104	1268
